ip,duration,protocol_type,flag,dst_bytes,src_bytes,land,is_guest_login,is_host_login,dst_host_count,dst_host_srv_count
158.185.99.234,0,1,4,0,0,0,0,0,255,1
64.62.204.10,1,1,3,0,0,0,0,0,255,2
118.34.62.125,127,1,9,2736,1567,0,0,0,5,5
131.24.241.175,0,1,9,0,334,0,0,0,7,7
127.66.15.62,1,1,9,2447,1174,0,1,0,106,4
37.51.176.234,0,1,5,0,0,0,0,0,255,18
27.201.23.193,0,1,5,0,0,0,0,0,255,10
64.240.75.172,0,1,5,0,0,0,0,0,246,21
214.141.130.94,0,2,9,87,34,0,0,0,19,224
206.226.63.162,0,1,9,9356,231,0,0,0,1,255
122.12.10.26,0,2,9,146,44,0,0,0,255,255
23.15.246.210,2,1,9,329,1073,0,0,0,54,29
61.124.224.238,0,1,1,0,0,0,0,0,59,255
37.6.2.171,0,1,9,1063,244,0,0,0,255,255
153.91.232.202,65,1,2,502,77,0,1,0,138,30
66.26.131.98,0,1,9,330,950,0,0,0,36,27
215.237.152.197,0,1,9,1410,197,0,0,0,227,255
38.240.88.126,0,1,9,9569,319,0,0,0,4,255
9.98.158.137,0,1,9,20731,254,0,0,0,57,255
151.176.111.116,0,1,9,9972,150,0,0,0,181,4
