ip,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
204.46.227.16,0,1,20,9,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,23,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0
66.223.225.7,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1,0.0,0.0,1.0,1.0,0.0,0.07,0.0,255,1,0.0,0.09,0.0,0.0,0.0,0.0,1.0,1.0
122.67.9.7,0,1,24,9,205,1359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0
10.159.147.233,0,1,24,9,232,51836,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.109.61.169,1,1,19,9,1223,2451,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,179,7,0.04,0.03,0.01,0.0,0.01,0.0,0.01,0.0
141.158.220.118,0,2,12,9,45,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,253,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0
19.71.136.221,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,1.0,1.0,0.5,1.0,0.0,255,1,0.0,0.53,0.48,0.0,0.05,0.0,0.49,1.0
126.48.70.178,0,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,1.0,1.0,0.0,0.0,0.23,0.1,0.0,255,69,0.27,0.02,0.02,0.0,1.0,1.0,0.0,0.0
191.221.109.2,3,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,1,0.04,0.0,0.94,1.0,0.0,1.0,0.0,255,1,0.0,0.94,0.0,0.0,0.04,0.0,0.87,1.0
248.131.106.228,2,1,19,9,1239,2449,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,203,31,0.15,0.02,0.0,0.0,0.0,0.0,0.01,0.0
112.222.117.107,0,1,20,9,0,5690,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52.157.202.134,54,1,60,9,260,2635,0,0,0,0,0,1,0,1,0,2,2,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
14.145.127.32,0,1,24,9,331,5738,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47,186,1.0,0.0,0.02,0.05,0.0,0.0,0.11,0.05
163.68.129.149,158,1,60,9,1567,3095,0,0,0,3,0,1,4,1,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
213.21.231.30,0,1,24,9,317,1617,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,20,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.136.68.83,47,1,60,9,2402,3816,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1
