ip,duration,protocol_type,flag,dst_bytes,src_bytes,land,is_guest_login,is_host_login,dst_host_count,dst_host_srv_count
69.91.34.178,0,1,9,5014,0,0,0,0,2,4
108.55.191.178,0,2,9,126,44,0,0,0,255,251
185.197.31.119,0,1,9,1483,338,0,0,0,255,255
25.104.154.188,0,1,9,330,2696,0,0,0,2,178
111.195.91.184,0,0,9,0,18,0,0,0,3,191
156.174.96.225,0,1,5,0,0,0,0,0,255,9
206.164.253.240,0,1,9,17,211,0,0,0,255,255
35.238.192.159,0,1,5,0,0,0,0,0,255,10
128.35.196.100,0,1,9,6717,216,0,0,0,255,255
108.182.37.87,176,1,9,2732,1559,0,0,0,8,8
156.53.87.235,0,1,9,44028,212,0,0,0,255,255
27.139.165.73,0,1,5,0,0,0,0,0,255,16
43.23.111.207,0,1,9,755,279,0,0,0,58,255
1.70.0.36,14,1,9,4949,108,0,0,0,174,1
36.5.136.52,0,1,9,5828,0,0,0,0,2,2
207.202.22.200,0,1,5,0,0,0,0,0,255,64
193.188.4.222,0,1,5,0,0,0,0,0,255,16
77.166.55.132,0,1,9,2251,282,0,0,0,255,255
57.118.185.3,60,1,9,183,86,0,0,0,255,1
140.80.53.246,0,1,9,171,210,0,0,0,255,255
250.111.26.143,0,1,9,5719,203,0,0,0,7,255
151.7.250.165,14,2,9,42,42,0,0,0,255,242
0.71.137.171,0,1,1,0,0,0,0,0,51,2
119.155.236.19,0,2,9,42,42,0,0,0,255,254
145.53.135.230,0,1,9,1701,293,0,0,0,90,255
54.222.227.98,0,2,9,4,516,0,0,0,151,151
114.119.124.201,1,1,9,2447,1187,0,1,0,255,100
225.87.208.221,0,1,9,0,334,0,0,0,12,66
55.253.122.219,29,1,9,1189158,393,0,0,0,157,12
241.207.133.248,0,1,9,5020,0,0,0,0,3,3
98.242.159.37,0,1,9,2809,212,0,0,0,65,255
255.38.244.187,0,1,5,0,0,0,0,0,255,11
53.100.23.143,1,1,9,2453,1269,0,1,0,255,96
152.251.23.88,0,2,9,136,44,0,0,0,255,237
227.68.52.187,0,1,9,525,204,0,0,0,81,255
46.248.202.250,0,2,9,109,43,0,0,0,255,197
