ip,duration,protocol_type,flag,dst_bytes,src_bytes,land,is_guest_login,is_host_login,dst_host_count,dst_host_srv_count
48.110.14.98,0,2,9,44,44,0,0,0,255,255
254.171.96.53,0,1,9,330,1495,0,0,0,255,141
17.198.249.157,0,0,9,0,1032,0,0,0,255,255
167.191.113.103,0,1,9,7969,252,0,0,0,40,255
115.165.231.95,0,2,9,136,45,0,0,0,255,201
12.184.133.202,0,1,9,223,10,0,0,0,186,5
98.95.125.123,0,1,9,2253,238,0,0,0,255,255
6.155.237.82,1,1,9,330,1140,0,0,0,5,182
46.85.218.145,4,1,9,0,832,0,0,0,3,59
247.20.183.103,0,1,5,0,0,0,0,0,255,6
233.89.204.192,570,2,9,105,145,0,0,0,255,3
216.211.130.71,1,1,9,2451,1243,0,1,0,255,35
230.112.123.28,6,1,9,0,2194619,0,0,0,140,42
90.116.11.76,0,1,9,0,334,0,0,0,9,27
204.105.33.192,0,1,9,9957,216,0,0,0,32,255
130.164.159.142,0,0,9,0,30,0,0,0,255,3
240.251.172.242,0,1,9,17631,271,0,0,0,8,255
170.110.93.108,0,1,1,0,0,0,0,0,255,1
233.53.79.201,0,1,5,0,0,0,0,0,255,20
176.235.39.123,0,1,9,677,315,0,0,0,113,255
17.164.217.28,0,1,5,0,0,0,0,0,255,2
2.162.113.99,0,1,9,289,223,0,0,0,213,255
0.110.171.94,0,1,1,0,0,0,0,0,255,6
139.89.44.147,31,1,9,1278,142,0,0,0,5,3
50.90.28.208,0,1,9,1237,317,0,0,0,22,255
